ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
1,84.0812613705276,94.24903982211441,91.7070952092177,77.98655517965744,89.16515059632101,77.98349768565103,StratifiedKFold 20 Fold and 100 Trees.
2,84.3844754396604,94.3298969072165,91.84354154032746,78.35345674581389,89.35718617343845,78.35010060362173,StratifiedKFold 20 Fold and 200 Trees.
3,85.14251061249242,94.23893268647664,91.96482716798059,78.75487021418988,89.69072164948454,78.74473631441748,StratifiedKFold 20 Fold and 300 Trees.
4,84.74833232261977,94.00646856680817,91.69193450576107,78.05755871276588,89.37740044471397,78.0448717948718,StratifiedKFold 20 Fold and 400 Trees.
5,85.08186779866585,94.14796846573681,91.88144329896907,78.55116182371549,89.61491813220134,78.53922452660053,StratifiedKFold 20 Fold and 500 Trees.
6,84.5360824742268,94.25914695775217,91.82838083687082,78.34133481390218,89.39761471598949,78.33601286173634,StratifiedKFold 20 Fold and 600 Trees.
7,84.93026076409946,94.23893268647664,91.91176470588235,78.59777780428324,89.58459672528805,78.58934483796529,StratifiedKFold 20 Fold and 700 Trees.
8,84.80897513644634,94.11764705882352,91.79047907822923,78.29604053641792,89.46331109763493,78.28571428571429,StratifiedKFold 20 Fold and 800 Trees.
9,85.41540327471195,94.11764705882352,91.94208611279564,78.74544804882953,89.76652516676774,78.72936468234117,StratifiedKFold 20 Fold and 900 Trees.
10,84.99090357792602,94.10753992318577,91.82838083687082,78.41331145982878,89.5492217505559,78.40112201963534,StratifiedKFold 20 Fold and 1000 Trees.
11,85.23347483323226,94.12775419446129,91.90418435415403,78.62826703447735,89.68061451384678,78.61433720464557,StratifiedKFold 20 Fold and 1100 Trees.
12,85.14251061249242,94.27936122902769,91.99514857489388,78.82561069742634,89.71093592076006,78.81644934804413,StratifiedKFold 20 Fold and 1200 Trees.
13,84.83929654335961,94.20861127956337,91.86628259551243,78.47736757402008,89.52395391146149,78.46894752683858,StratifiedKFold 20 Fold and 1300 Trees.
14,84.80897513644634,94.097432787548,91.77531837477258,78.2608082387392,89.45320396199718,78.24997494236744,StratifiedKFold 20 Fold and 1400 Trees.
15,84.93026076409946,94.14796846573681,91.84354154032746,78.4388277318095,89.53911461491813,78.42822774659182,StratifiedKFold 20 Fold and 1500 Trees.
16,85.11218920557914,94.22882555083889,91.94966646452394,78.71476078194429,89.67050737820901,78.70463204331261,StratifiedKFold 20 Fold and 1600 Trees.
17,85.14251061249242,94.27936122902769,91.99514857489388,78.82561069742634,89.71093592076006,78.81644934804413,StratifiedKFold 20 Fold and 1700 Trees.
18,84.62704669496665,94.097432787548,91.72983626440266,78.1258566467156,89.36223974125733,78.11653796008424,StratifiedKFold 20 Fold and 1800 Trees.
19,84.83929654335961,94.22882555083889,91.88144329896907,78.51273844423048,89.53406104709926,78.50476668339186,StratifiedKFold 20 Fold and 1900 Trees.
20,85.29411764705883,94.12775419446129,91.91934505761067,78.67319008872481,89.71093592076006,78.65865865865867,StratifiedKFold 20 Fold and 2000 Trees.
21,84.96058217101273,94.18839700828785,91.88144329896907,78.53186553922731,89.5744895896503,78.52200942544872,StratifiedKFold 20 Fold and 2100 Trees.
22,85.05154639175258,94.1985041439256,91.91176470588235,78.61688485671058,89.62502526783909,78.60651629072682,StratifiedKFold 20 Fold and 2200 Trees.
23,84.96058217101273,94.23893268647664,91.91934505761067,78.62022331961147,89.5997574287447,78.6115569823435,StratifiedKFold 20 Fold and 2300 Trees.
24,85.08186779866585,94.17828987265008,91.90418435415403,78.60404675145848,89.63007883565798,78.59290438965725,StratifiedKFold 20 Fold and 2400 Trees.
25,85.08186779866585,94.07721851627248,91.82838083687082,78.42799126515877,89.57954315746917,78.41409691629956,StratifiedKFold 20 Fold and 2500 Trees.
26,84.96058217101273,94.17828987265008,91.87386294724075,78.5142136207164,89.56943602183142,78.50411068778826,StratifiedKFold 20 Fold and 2600 Trees.
27,85.05154639175258,94.27936122902769,91.97240751970891,78.75832477796747,89.66545381039013,78.74987458613425,StratifiedKFold 20 Fold and 2700 Trees.
28,84.99090357792602,94.21871841520112,91.91176470588235,78.60731012200671,89.60481099656357,78.59793400862502,StratifiedKFold 20 Fold and 2800 Trees.
29,84.83929654335961,94.16818273701233,91.83596118859914,78.40670450730207,89.50373964018597,78.39735232173302,StratifiedKFold 20 Fold and 2900 Trees.
30,84.8696179502729,94.13786133009904,91.82080048514251,78.37625161649107,89.50373964018597,78.36591478696742,StratifiedKFold 20 Fold and 3000 Trees.
