ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
1,91.84848484848484,94.83838383838383,94.0909090909091,84.72169768425441,93.34343434343434,84.62051937637666,StratifiedShuffleSplit 10 Fold and 100 Trees.
2,91.96969696969697,94.51515151515152,93.87878787878788,84.26450332053895,93.24242424242425,84.13007328276903,StratifiedShuffleSplit 10 Fold and 200 Trees.
3,92.42424242424242,94.8080808080808,94.21212121212122,85.09362427019352,93.61616161616162,84.9692541025017,StratifiedShuffleSplit 10 Fold and 300 Trees.
4,92.33333333333333,94.69696969696969,94.10606060606061,84.8462620286373,93.51515151515152,84.71036870031497,StratifiedShuffleSplit 10 Fold and 400 Trees.
5,92.36363636363636,94.42424242424242,93.9090909090909,84.40409853615841,93.39393939393939,84.23895797932921,StratifiedShuffleSplit 10 Fold and 500 Trees.
6,92.42424242424242,94.64646464646465,94.0909090909091,84.82516278982052,93.53535353535354,84.68672291184723,StratifiedShuffleSplit 10 Fold and 600 Trees.
7,92.12121212121212,94.68686868686869,94.04545454545455,84.65994443749587,93.4040404040404,84.53949686815211,StratifiedShuffleSplit 10 Fold and 700 Trees.
8,92.33333333333334,94.48484848484848,93.9469696969697,84.47280443356502,93.4090909090909,84.32376836179455,StratifiedShuffleSplit 10 Fold and 800 Trees.
9,92.12121212121212,94.87878787878788,94.18939393939394,84.98780398786451,93.5,84.88192250113302,StratifiedShuffleSplit 10 Fold and 900 Trees.
10,91.81818181818181,94.02020202020202,93.46969696969697,83.31970473013635,92.91919191919192,83.13846736801162,StratifiedShuffleSplit 10 Fold and 1000 Trees.
11,92.24242424242425,94.18181818181819,93.6969696969697,83.89807431637571,93.2121212121212,83.72470993311086,StratifiedShuffleSplit 10 Fold and 1100 Trees.
12,92.0,94.68686868686869,94.01515151515152,84.5673275336289,93.34343434343435,84.44911490090293,StratifiedShuffleSplit 10 Fold and 1200 Trees.
13,91.33333333333333,94.74747474747475,93.89393939393939,84.1993511798514,93.04040404040404,84.09863534814477,StratifiedShuffleSplit 10 Fold and 1300 Trees.
14,92.57575757575758,94.67676767676768,94.15151515151516,84.97734375789652,93.62626262626263,84.83792782820223,StratifiedShuffleSplit 10 Fold and 1400 Trees.
15,91.93939393939394,94.81818181818181,94.09848484848484,84.75712011275131,93.37878787878788,84.64389900139024,StratifiedShuffleSplit 10 Fold and 1500 Trees.
16,92.78787878787878,94.67676767676767,94.20454545454545,85.15011595212226,93.73232323232324,85.0000676887441,StratifiedShuffleSplit 10 Fold and 1600 Trees.
17,91.9090909090909,94.88888888888889,94.14393939393939,84.87800252110213,93.3989898989899,84.75855476575856,StratifiedShuffleSplit 10 Fold and 1700 Trees.
18,91.33333333333333,94.81818181818181,93.94696969696969,84.3196628304397,93.07575757575758,84.22228412719475,StratifiedShuffleSplit 10 Fold and 1800 Trees.
19,92.36363636363636,94.24242424242425,93.77272727272727,84.08818209802381,93.30303030303031,83.9195085501591,StratifiedShuffleSplit 10 Fold and 1900 Trees.
20,92.36363636363636,94.28282828282828,93.8030303030303,84.15389108013414,93.32323232323232,83.98666174790512,StratifiedShuffleSplit 10 Fold and 2000 Trees.
21,91.81818181818181,94.71717171717171,93.99242424242425,84.49728966446504,93.26767676767676,84.38148374955155,StratifiedShuffleSplit 10 Fold and 2100 Trees.
22,91.78787878787878,94.31313131313132,93.68181818181819,83.79257088199029,93.05050505050505,83.63712470062242,StratifiedShuffleSplit 10 Fold and 2200 Trees.
23,92.24242424242424,94.58585858585859,94.0,84.58140803624794,93.41414141414141,84.4480799447519,StratifiedShuffleSplit 10 Fold and 2300 Trees.
24,91.78787878787878,94.82828282828282,94.06818181818181,84.67368624677893,93.3080808080808,84.56431112713535,StratifiedShuffleSplit 10 Fold and 2400 Trees.
25,92.51515151515152,94.68686868686868,94.14393939393939,84.97096283926695,93.6010101010101,84.82465036639188,StratifiedShuffleSplit 10 Fold and 2500 Trees.
26,91.66666666666667,94.1010101010101,93.49242424242425,83.33016944178183,92.8838383838384,83.17270024533191,StratifiedShuffleSplit 10 Fold and 2600 Trees.
27,92.51515151515152,94.75757575757575,94.19696969696969,85.0752030113484,93.63636363636364,84.94359882542956,StratifiedShuffleSplit 10 Fold and 2700 Trees.
28,93.24242424242425,94.77777777777777,94.39393939393939,85.65361707715309,94.01010101010101,85.4927408020657,StratifiedShuffleSplit 10 Fold and 2800 Trees.
29,92.33333333333333,94.72727272727273,94.12878787878788,84.88371035851536,93.53030303030303,84.75383466754543,StratifiedShuffleSplit 10 Fold and 2900 Trees.
30,92.06060606060606,94.55555555555556,93.93181818181819,84.39266534409059,93.30808080808082,84.26026584322484,StratifiedShuffleSplit 10 Fold and 3000 Trees.
