ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
1,84.41479684657368,94.26925409338993,91.80563978168587,78.26924773399242,89.3420254699818,78.26480345832914,StratifiedKFold 30 Fold and 100 Trees.
2,85.08186779866585,94.4309682635941,92.09369314736203,79.04705057511536,89.75641803112997,79.04149502662514,StratifiedKFold 30 Fold and 200 Trees.
3,85.3244390539721,94.22882555083889,92.0027289266222,78.87181971099177,89.7766323024055,78.8598336839996,StratifiedKFold 30 Fold and 300 Trees.
4,85.44572468162522,94.37032544976753,92.13917525773195,79.20912696612056,89.90802506569638,79.19967906930097,StratifiedKFold 30 Fold and 400 Trees.
5,85.35476046088539,94.1985041439256,91.98756822316555,78.84134041577084,89.7766323024055,78.82824236354531,StratifiedKFold 30 Fold and 500 Trees.
6,85.08186779866585,94.30968263594097,92.0027289266222,78.83389498650524,89.6957752173034,78.82589061716006,StratifiedKFold 30 Fold and 600 Trees.
7,84.99090357792602,94.28946836466545,91.96482716798059,78.73117614832918,89.64018597129572,78.72340425531915,StratifiedKFold 30 Fold and 700 Trees.
8,85.56701030927834,94.22882555083889,92.06337174044876,79.05124212069121,89.89791793005863,79.03694063469817,StratifiedKFold 30 Fold and 800 Trees.
9,85.35476046088539,94.23893268647664,92.01788963007883,78.91190194690132,89.79684657368102,78.89990982867448,StratifiedKFold 30 Fold and 900 Trees.
10,85.35476046088539,94.1985041439256,91.98756822316555,78.84134041577084,89.7766323024055,78.82824236354531,StratifiedKFold 30 Fold and 1000 Trees.
11,85.14251061249242,94.22882555083889,91.95724681625227,78.73720147682033,89.68566808166565,78.72681704260651,StratifiedKFold 30 Fold and 1100 Trees.
12,85.29411764705883,94.23893268647664,92.0027289266222,78.86704188679336,89.76652516676774,78.85559675318167,StratifiedKFold 30 Fold and 1200 Trees.
13,85.29411764705883,94.30968263594097,92.05579138872044,78.9908134576975,89.8019001414999,78.98114721219414,StratifiedKFold 30 Fold and 1300 Trees.
14,85.20315342631898,94.20861127956337,91.95724681625227,78.7467719029782,89.70588235294117,78.73534422286802,StratifiedKFold 30 Fold and 1400 Trees.
15,84.93026076409946,94.22882555083889,91.90418435415403,78.58009048483882,89.57954315746917,78.57142857142857,StratifiedKFold 30 Fold and 1500 Trees.
16,85.20315342631898,94.13786133009904,91.90418435415403,78.6234019228514,89.67050737820901,78.61005407570599,StratifiedKFold 30 Fold and 1600 Trees.
17,85.38508186779866,94.3298969072165,92.09369314736203,79.09345211440247,89.85748938750758,79.08352551890103,StratifiedKFold 30 Fold and 1700 Trees.
18,85.14251061249242,94.25914695775217,91.97998787143723,78.7902273392168,89.7008287851223,78.78058563979143,StratifiedKFold 30 Fold and 1800 Trees.
19,85.11218920557914,94.26925409338993,91.97998787143723,78.78548567289214,89.69072164948454,78.77632898696089,StratifiedKFold 30 Fold and 1900 Trees.
20,85.1728320194057,94.28946836466545,92.0103092783505,78.86573572196053,89.73115019203559,78.85656970912737,StratifiedKFold 30 Fold and 2000 Trees.
21,85.1728320194057,94.24903982211441,91.97998787143723,78.79497964643545,89.71093592076006,78.78484058552235,StratifiedKFold 30 Fold and 2100 Trees.
22,85.29411764705883,94.27936122902769,92.03305033353547,78.93772917700323,89.78673943804326,78.92731829573934,StratifiedKFold 30 Fold and 2200 Trees.
23,85.08186779866585,94.30968263594097,92.0027289266222,78.83389498650524,89.6957752173034,78.82589061716006,StratifiedKFold 30 Fold and 2300 Trees.
24,85.3244390539721,94.30968263594097,92.06337174044876,79.01322546080603,89.81706084495654,79.00330893412213,StratifiedKFold 30 Fold and 2400 Trees.
25,85.08186779866585,94.26925409338993,91.97240751970891,78.76305436933784,89.67556094602789,78.75413782726453,StratifiedKFold 30 Fold and 2500 Trees.
26,85.1728320194057,94.23893268647664,91.97240751970891,78.7773070168569,89.70588235294117,78.76691729323309,StratifiedKFold 30 Fold and 2600 Trees.
27,85.35476046088539,94.24903982211441,92.02546998180715,78.92955864375044,89.80190014149989,78.91783567134269,StratifiedKFold 30 Fold and 2700 Trees.
28,85.29411764705883,94.26925409338993,92.02546998180715,78.92004753384512,89.78168587022438,78.9093825180433,StratifiedKFold 30 Fold and 2800 Trees.
29,85.35476046088539,94.24903982211441,92.02546998180715,78.92955864375044,89.80190014149989,78.91783567134269,StratifiedKFold 30 Fold and 2900 Trees.
30,85.05154639175258,94.27936122902769,91.97240751970891,78.75832477796747,89.66545381039013,78.74987458613425,StratifiedKFold 30 Fold and 3000 Trees.
