ID,Sn,Sp,Accuracy,MCC,ROC-AUC,K,Details
1,91.54545454545455,94.85858585858585,94.03030303030303,84.54214738178374,93.20202020202021,84.4463268941827,StratifiedShuffleSplit 10 Fold and 100 Trees.
2,92.45454545454545,94.58585858585859,94.0530303030303,84.73429770079682,93.52020202020202,84.59460151252543,StratifiedShuffleSplit 10 Fold and 200 Trees.
3,92.3030303030303,94.87878787878788,94.23484848484848,85.12240763021191,93.5909090909091,85.01099249284049,StratifiedShuffleSplit 10 Fold and 300 Trees.
4,92.15151515151516,94.94949494949495,94.25,85.13954715061087,93.55050505050505,85.03071647879452,StratifiedShuffleSplit 10 Fold and 400 Trees.
5,91.12121212121212,94.6060606060606,93.73484848484848,83.80435399070981,92.86363636363636,83.70119519669326,StratifiedShuffleSplit 10 Fold and 500 Trees.
6,91.39393939393939,94.44444444444444,93.68181818181819,83.71864607064944,92.91919191919192,83.59196746277817,StratifiedShuffleSplit 10 Fold and 600 Trees.
7,92.15151515151516,94.74747474747474,94.09848484848484,84.7968323833264,93.44949494949495,84.67099824491571,StratifiedShuffleSplit 10 Fold and 700 Trees.
8,92.51515151515152,94.4949494949495,94.0,84.62494499168768,93.5050505050505,84.46578475536481,StratifiedShuffleSplit 10 Fold and 800 Trees.
9,93.0909090909091,93.8989898989899,93.6969696969697,84.0710980636602,93.4949494949495,83.82378672465413,StratifiedShuffleSplit 10 Fold and 900 Trees.
10,91.60606060606061,94.28282828282829,93.61363636363636,83.59944424025893,92.94444444444444,83.45439623040022,StratifiedShuffleSplit 10 Fold and 1000 Trees.
11,91.24242424242425,94.51515151515152,93.6969696969697,83.74327949852038,92.87878787878788,83.62263477409958,StratifiedShuffleSplit 10 Fold and 1100 Trees.
12,91.54545454545455,95.12121212121212,94.22727272727273,84.98909106568766,93.33333333333334,84.91822558433596,StratifiedShuffleSplit 10 Fold and 1200 Trees.
13,92.24242424242425,94.86868686868686,94.21212121212122,85.07358271022281,93.55555555555556,84.94387191174928,StratifiedShuffleSplit 10 Fold and 1300 Trees.
14,91.78787878787878,94.43434343434343,93.77272727272727,83.99518599720079,93.11111111111111,83.8535730380562,StratifiedShuffleSplit 10 Fold and 1400 Trees.
15,92.06060606060606,94.76767676767676,94.0909090909091,84.74951736607856,93.41414141414141,84.63666416600813,StratifiedShuffleSplit 10 Fold and 1500 Trees.
16,92.03030303030303,94.51515151515152,93.89393939393939,84.323271837486,93.27272727272727,84.17232164442892,StratifiedShuffleSplit 10 Fold and 1600 Trees.
17,91.81818181818181,95.08080808080808,94.26515151515152,85.12154627115987,93.44949494949495,85.03478804521545,StratifiedShuffleSplit 10 Fold and 1700 Trees.
18,91.18181818181819,94.73737373737373,93.84848484848484,84.07063343501959,92.95959595959596,83.97400522692486,StratifiedShuffleSplit 10 Fold and 1800 Trees.
19,91.39393939393939,94.93939393939394,94.0530303030303,84.5673521367821,93.16666666666667,84.47960191757637,StratifiedShuffleSplit 10 Fold and 1900 Trees.
20,91.75757575757576,94.83838383838383,94.06818181818181,84.66818330120353,93.29797979797979,84.56016041012435,StratifiedShuffleSplit 10 Fold and 2000 Trees.
21,91.84848484848484,94.8989898989899,94.13636363636364,84.82964663456873,93.37373737373737,84.72800289070281,StratifiedShuffleSplit 10 Fold and 2100 Trees.
22,90.57575757575758,95.31313131313131,94.12878787878788,84.6338067299593,92.94444444444444,84.58062493842566,StratifiedShuffleSplit 10 Fold and 2200 Trees.
23,92.75757575757575,94.61616161616162,94.15151515151516,85.00034931792331,93.68686868686868,84.84915961687244,StratifiedShuffleSplit 10 Fold and 2300 Trees.
24,91.81818181818181,95.06060606060606,94.25,85.09058044676061,93.43939393939394,85.00021994696905,StratifiedShuffleSplit 10 Fold and 2400 Trees.
25,92.72727272727272,94.81818181818181,94.29545454545455,85.32557129494622,93.77272727272727,85.19597092379098,StratifiedShuffleSplit 10 Fold and 2500 Trees.
26,92.36363636363636,94.43434343434343,93.91666666666667,84.42330680228321,93.3989898989899,84.25634328106695,StratifiedShuffleSplit 10 Fold and 2600 Trees.
27,92.18181818181819,94.85858585858585,94.18939393939394,85.01189050483843,93.52020202020202,84.88792108140514,StratifiedShuffleSplit 10 Fold and 2700 Trees.
28,90.96969696969697,94.72727272727272,93.7878787878788,83.89077142940943,92.84848484848484,83.79966405119191,StratifiedShuffleSplit 10 Fold and 2800 Trees.
29,92.15151515151516,94.6969696969697,94.06060606060606,84.7049634686579,93.42424242424242,84.574364330587,StratifiedShuffleSplit 10 Fold and 2900 Trees.
30,91.93939393939394,95.01010101010101,94.24242424242425,85.0801711230146,93.47474747474747,84.99267987526709,StratifiedShuffleSplit 10 Fold and 3000 Trees.
